,company,type,rating,reviewers,age,highly_ratedFOR,critically_ratedFOR
227,Reliance Digital,Retail ,4.2,2.5k Reviews,17 years old,"Job Security, Skill Development / Learning, Company Culture",
228,PNB MetLife,Insurance ,3.5,2.5k Reviews,23 years old,"Job Security, Work Satisfaction, Promotions / Appraisal",
229,Jubilant Foods Works,Hospitality ,3.9,2.5k Reviews,29 years old,"Skill Development / Learning, Salary & Benefits",
230,Escorts Kubota Limited,Automobile ,4.1,2.5k Reviews,80 years old,"Skill Development / Learning, Company Culture, Work Life Balance",
231,GeBBS Healthcare Solutions,BPO ,3.7,2.5k Reviews,19 years old,Job Security,"Promotions / Appraisal, Salary & Benefits"
232,Wipro Consumer Care & Lighting,FMCG ,3.9,2.4k Reviews,79 years old,Job Security,Promotions / Appraisal
233,Ceat Tyres,Auto Components ,4.1,2.4k Reviews,66 years old,"Job Security, Company Culture, Skill Development / Learning",Promotions / Appraisal
234,Kotak Mahindara Life Insurance,Insurance ,3.9,2.5k Reviews,23 years old,Job Security,
235,Dabur,FMCG ,3.9,2.4k Reviews,140 years old,Promotions / Appraisal,
236,Axis Direct,Financial Services ,3.9,2.4k Reviews,13 years old,Promotions / Appraisal,
237,JK Cement,Building Material ,4.2,2.4k Reviews,49 years old,"Salary & Benefits, Company Culture, Job Security",
238,Conduent,BPO ,3.6,2.4k Reviews,7 years old,"Promotions / Appraisal, Salary & Benefits, Skill Development / Learning",
239,InterGlobe Aviation,Aviation ,3.6,2.4k Reviews,19 years old,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",
240,Synechron,IT Services & Consulting ,3.7,2.4k Reviews,23 years old,"Salary & Benefits, Skill Development / Learning","Job Security, Promotions / Appraisal"
241,Shoppers Stop,Retail ,4.1,2.4k Reviews,33 years old,"Job Security, Company Culture, Skill Development / Learning",
242,Birlasoft,IT Services & Consulting ,3.8,2.4k Reviews,29 years old,"Promotions / Appraisal, Salary & Benefits",
243,ACC,Building Material ,4.0,2.4k Reviews,88 years old,Promotions / Appraisal,
244,Lenskart,Internet ,3.3,2.4k Reviews,14 years old,"Promotions / Appraisal, Work Life Balance, Work Satisfaction",
245,HARMAN,Consumer Electronics & Appliances ,3.9,2.4k Reviews,15 years old,Work Life Balance,Promotions / Appraisal
246,ArcelorMittal Nippon Steel,Iron & Steel ,4.1,2.3k Reviews,,"Job Security, Skill Development / Learning, Work Life Balance",Promotions / Appraisal
247,Reliance SMSL,BPO ,4.0,2.3k Reviews,17 years old,"Skill Development / Learning, Work Life Balance, Salary & Benefits",Promotions / Appraisal
248,GATI-KWE,Logistics ,4.0,2.3k Reviews,12 years old,"Skill Development / Learning, Job Security",Promotions / Appraisal
249,Indiabulls Home Loans,NBFC ,3.9,2.3k Reviews,19 years old,Promotions / Appraisal,
250,KPIT Technologies,Software Product ,3.6,2.3k Reviews,34 years old,"Promotions / Appraisal, Work Satisfaction, Job Security",
251,PepsiCo,Food Processing ,4.2,2.3k Reviews,59 years old,"Job Security, Company Culture, Skill Development / Learning",
252,UPL,Agro Chemicals ,4.2,2.3k Reviews,55 years old,"Job Security, Skill Development / Learning, Work Life Balance",
253,S&P Global,Analytics & KPO ,4.2,2.3k Reviews,164 years old,"Company Culture, Work Life Balance, Job Security",
254,Torrent Pharmaceuticals,Pharma ,4.0,2.3k Reviews,53 years old,"Job Security, Work Life Balance, Company Culture","Promotions / Appraisal, Salary & Benefits"
255,Dilip Buildcon,Engineering & Construction ,4.1,2.3k Reviews,37 years old,"Skill Development / Learning, Work Satisfaction",
256,RSPL Group,FMCG ,4.2,2.3k Reviews,36 years old,"Job Security, Skill Development / Learning, Work Life Balance",
257,Tech Mahindra Business Services,BPO ,3.5,2.3k Reviews,21 years old,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",
258,Square Yards,Internet ,3.9,2.3k Reviews,11 years old,"Promotions / Appraisal, Skill Development / Learning, Salary & Benefits",
259,Titan Company,Retail ,4.4,2.3k Reviews,40 years old,"Company Culture, Job Security, Skill Development / Learning",
260,TVS Credit,NBFC ,4.5,2.3k Reviews,16 years old,"Job Security, Skill Development / Learning, Company Culture",
261,Wipro Enterprises Ltd,IT Services & Consulting ,3.9,2.3k Reviews,79 years old,"Job Security, Skill Development / Learning, Company Culture",Promotions / Appraisal
262,Tata AIG,Insurance ,4.2,2.2k Reviews,24 years old,"Job Security, Company Culture, Skill Development / Learning",Promotions / Appraisal
263,EY Global Delivery Services ( EY GDS),Accounting & Auditing ,3.7,2.3k Reviews,22 years old,"Job Security, Skill Development / Learning","Promotions / Appraisal, Work Satisfaction, Work Life Balance"
264,IDFC FIRST Bharat,NBFC ,4.6,2.2k Reviews,8 years old,"Salary & Benefits, Job Security, Company Culture",
265,Aditya Birla Sun Life Insurance,Insurance ,4.2,2.2k Reviews,24 years old,"Job Security, Company Culture, Work Life Balance",
266,Bajaj Electricals,Consumer Electronics & Appliances ,4.1,2.2k Reviews,86 years old,"Salary & Benefits, Company Culture, Work Life Balance",
267,Alstom Transportation,Engineering & Construction ,3.9,2.2k Reviews,96 years old,Job Security,Promotions / Appraisal
268,Statestreet HCL Services,BPO ,3.3,2.2k Reviews,12 years old,Job Security,"Promotions / Appraisal, Salary & Benefits, Company Culture"
269,IGT Solutions,BPO ,3.4,2.2k Reviews,26 years old,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",
270,Afcons Infrastructure,Engineering & Construction ,4.4,2.2k Reviews,65 years old,"Job Security, Skill Development / Learning, Company Culture",
271,Apollo Tyres,Auto Components ,4.1,2.2k Reviews,52 years old,"Skill Development / Learning, Company Culture, Job Security",Promotions / Appraisal
272,Mankind Pharma,Pharma ,4.2,2.2k Reviews,29 years old,"Salary & Benefits, Skill Development / Learning, Work Life Balance",
273,Simplex Infrastructures,Engineering & Construction ,3.3,2.1k Reviews,100 years old,"Salary & Benefits, Promotions / Appraisal, Company Culture",
274,Domino's Pizza,Hospitality ,4.0,2.2k Reviews,64 years old,"Skill Development / Learning, Salary & Benefits",
275,Suzlon Group,Power ,4.2,2.1k Reviews,29 years old,"Job Security, Skill Development / Learning, Company Culture",Promotions / Appraisal
276,Capita,IT Services & Consulting ,3.8,2.2k Reviews,19 years old,"Work Life Balance, Job Security","Promotions / Appraisal, Salary & Benefits"
277,Zensar Technologies,IT Services & Consulting ,3.8,2.1k Reviews,23 years old,Work Life Balance,Promotions / Appraisal
278,Flex,Logistics ,4.1,2.1k Reviews,55 years old,"Company Culture, Work Life Balance, Skill Development / Learning",Promotions / Appraisal
279,State Street Corporation,Financial Services ,3.9,2.1k Reviews,232 years old,Job Security,Promotions / Appraisal
280,Max Healthcare,Healthcare ,4.1,2.1k Reviews,23 years old,"Skill Development / Learning, Job Security, Company Culture",
281,KocharTech,IT Services & Consulting ,4.1,2.1k Reviews,29 years old,"Skill Development / Learning, Company Culture, Work Satisfaction",
282,Huawei Technologies,Telecom ,4.0,2.1k Reviews,22 years old,"Salary & Benefits, Skill Development / Learning",Job Security
283,Bajaj Allianz General Insurance,Insurance ,4.0,2.1k Reviews,,"Skill Development / Learning, Company Culture, Job Security",
284,Tata Technologies,Engineering & Construction ,3.8,2.1k Reviews,35 years old,"Job Security, Work Life Balance","Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
285,Croma,Retail ,4.1,2.1k Reviews,18 years old,"Job Security, Skill Development / Learning, Work Life Balance",Promotions / Appraisal
286,I Process Services,Recruitment ,3.9,2.1k Reviews,19 years old,"Promotions / Appraisal, Salary & Benefits",
287,McDonald's,Hospitality ,4.2,2.1k Reviews,69 years old,"Skill Development / Learning, Company Culture, Job Security",
288,Taj Hotels Resorts and Palaces,Hospitality ,4.2,2.1k Reviews,121 years old,"Job Security, Company Culture, Skill Development / Learning",
289,Grasim Industries,Building Material ,4.1,2.1k Reviews,77 years old,"Job Security, Skill Development / Learning, Work Life Balance",
290,HDFC Sales,Financial Services ,4.1,2.1k Reviews,20 years old,"Skill Development / Learning, Company Culture, Work Life Balance",Promotions / Appraisal
291,Nestle,Food Processing ,4.2,2.1k Reviews,65 years old,"Salary & Benefits, Job Security, Skill Development / Learning",
292,ElasticRun,Logistics ,3.4,2.1k Reviews,8 years old,"Job Security, Promotions / Appraisal, Work Satisfaction",
293,UNO Minda,Auto Components ,4.1,2.1k Reviews,66 years old,"Job Security, Skill Development / Learning, Company Culture",
294,Landmark Group,Retail ,4.0,2.1k Reviews,51 years old,"Job Security, Skill Development / Learning, Company Culture",Promotions / Appraisal
295,Walmart,Retail ,4.0,2.1k Reviews,15 years old,"Job Security, Company Culture, Salary & Benefits",Promotions / Appraisal
296,AGS Health,BPO ,4.0,2.1k Reviews,13 years old,"Job Security, Company Culture, Skill Development / Learning",
297,Lava International,Consumer Electronics & Appliances ,4.1,2k Reviews,15 years old,"Skill Development / Learning, Company Culture, Work Life Balance",
298,Nokia,Telecom ,4.2,2.1k Reviews,159 years old,"Work Life Balance, Company Culture, Job Security",
299,Blue Dart Express,Logistics ,4.1,2.1k Reviews,41 years old,"Job Security, Company Culture, Work Life Balance",Promotions / Appraisal
300,Patanjali Ayurved,FMCG ,4.1,2k Reviews,18 years old,"Work Life Balance, Job Security, Company Culture",Promotions / Appraisal
301,Tractors and Farm Equipment,Industrial Machinery ,4.1,2k Reviews,64 years old,"Skill Development / Learning, Work Life Balance, Company Culture",Promotions / Appraisal
302,G4S,Law Enforcement & Security ,4.1,2k Reviews,28 years old,"Work Life Balance, Salary & Benefits",Promotions / Appraisal
303,Fortis Healthcare,Healthcare ,4.1,2k Reviews,28 years old,"Skill Development / Learning, Job Security, Company Culture",
304,Capgemini Engineering,,3.6,2k Reviews,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",
305,Societe Generale Global Solution Centre,Financial Services ,3.9,2k Reviews,24 years old,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal
306,State Street Syntel,Financial Services ,3.7,2k Reviews,20 years old,"Job Security, Skill Development / Learning","Salary & Benefits, Promotions / Appraisal, Work Satisfaction"
307,BlackBuck,Internet ,3.9,2k Reviews,9 years old,"Job Security, Promotions / Appraisal",
308,TVS Supply Chain Solutions,Logistics ,4.0,2k Reviews,128 years old,Job Security,"Promotions / Appraisal, Salary & Benefits"
309,Britannia,FMCG ,4.1,2k Reviews,132 years old,"Job Security, Skill Development / Learning, Company Culture",
310,Micro Labs,Pharma ,3.8,2k Reviews,51 years old,Job Security,"Salary & Benefits, Promotions / Appraisal, Company Culture"
311,Fiserv,FinTech ,3.6,2k Reviews,40 years old,"Promotions / Appraisal, Work Satisfaction, Skill Development / Learning",
312,KFintech,FinTech ,3.7,2k Reviews,7 years old,Job Security,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
313,Voltas,Consumer Electronics & Appliances ,4.1,2k Reviews,70 years old,"Job Security, Company Culture, Skill Development / Learning",Promotions / Appraisal
314,Sterlite Technologies,Hardware & Networking ,3.8,2k Reviews,36 years old,Promotions / Appraisal,
315,Shree Cement,Building Material ,4.0,1.9k Reviews,45 years old,Promotions / Appraisal,
316,Kyndryl,IT Services & Consulting ,4.1,2k Reviews,3 years old,"Work Life Balance, Skill Development / Learning, Company Culture",Promotions / Appraisal
317,Exide Industries,Auto Components ,3.6,1.9k Reviews,77 years old,"Promotions / Appraisal, Company Culture, Work Satisfaction",
318,Ola Cabs,Internet ,3.5,1.9k Reviews,14 years old,"Job Security, Promotions / Appraisal, Company Culture",
319,Yazaki,Auto Components ,3.9,1.9k Reviews,83 years old,Promotions / Appraisal,
320,Radisson Hotels,Hospitality ,4.1,1.9k Reviews,115 years old,"Skill Development / Learning, Work Life Balance, Company Culture",
321,Dalmia Bharat Cement,Building Material ,4.0,1.9k Reviews,89 years old,"Job Security, Skill Development / Learning, Salary & Benefits",
322,Himalaya Wellness,Pharma ,4.2,1.9k Reviews,94 years old,"Work Life Balance, Skill Development / Learning, Company Culture",
323,Quest Global,IT Services & Consulting ,3.7,1.9k Reviews,27 years old,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",
324,Lifestyle,Retail ,4.4,1.9k Reviews,25 years old,"Company Culture, Job Security, Skill Development / Learning",
325,IKS Health,Healthcare ,3.6,1.9k Reviews,17 years old,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",
326,Eureka Forbes,Consumer Electronics & Appliances ,3.9,1.9k Reviews,42 years old,"Promotions / Appraisal, Job Security",
327,Ajanta Pharma,Pharma ,4.1,1.9k Reviews,51 years old,"Job Security, Work Life Balance, Company Culture",
328,Blue Star,Consumer Electronics & Appliances ,4.1,1.9k Reviews,81 years old,"Company Culture, Skill Development / Learning, Work Satisfaction",
329,ACT Fibernet,Telecom ,4.0,1.9k Reviews,16 years old,"Job Security, Company Culture, Salary & Benefits",
330,Motilal Oswal Financial Services,Financial Services ,3.8,1.9k Reviews,37 years old,Skill Development / Learning,Promotions / Appraisal
331,XpressBees,Logistics ,3.8,1.9k Reviews,9 years old,Promotions / Appraisal,
332,Aditya Birla Group,Building Material ,4.1,1.9k Reviews,167 years old,"Job Security, Skill Development / Learning, Company Culture",
333,Sonalika Tractors,Automobile ,3.8,1.9k Reviews,55 years old,Job Security,"Promotions / Appraisal, Company Culture, Salary & Benefits"
334,Extramarks Education,EdTech ,3.5,1.9k Reviews,17 years old,"Job Security, Promotions / Appraisal, Work Satisfaction",
335,DS Group,FMCG ,4.1,1.9k Reviews,95 years old,"Work Life Balance, Job Security",Promotions / Appraisal
336,Nokia Networks,Hardware & Networking ,4.3,1.8k Reviews,,"Company Culture, Work Life Balance, Work Satisfaction",
337,Life Insurance Corporation of India,Insurance ,4.4,1.8k Reviews,68 years old,"Work Life Balance, Company Culture, Salary & Benefits",
338,Mahindra Rural Housing Finance,NBFC ,4.1,1.8k Reviews,17 years old,"Company Culture, Work Life Balance, Job Security",
339,Cholamandalam MS General Insurance,Insurance ,3.9,1.8k Reviews,23 years old,Promotions / Appraisal,
340,Zomato,Internet ,3.8,1.9k Reviews,16 years old,"Promotions / Appraisal, Job Security",
341,Mahindra Logistics,Logistics ,4.1,1.8k Reviews,24 years old,"Skill Development / Learning, Company Culture, Work Life Balance",Promotions / Appraisal
342,Delhi Public School,Education & Training ,3.9,1.8k Reviews,26 years old,Skill Development / Learning,Promotions / Appraisal
343,Indus Towers,Telecom ,4.0,1.8k Reviews,17 years old,"Salary & Benefits, Skill Development / Learning",Promotions / Appraisal
344,PVR Cinemas,Media & Entertainment ,4.1,1.8k Reviews,27 years old,"Skill Development / Learning, Job Security, Company Culture",
345,Future Retail,Retail ,4.3,1.8k Reviews,37 years old,"Skill Development / Learning, Company Culture, Work Satisfaction",
346,JMC Projects,Engineering & Construction ,4.2,1.8k Reviews,42 years old,"Job Security, Skill Development / Learning, Salary & Benefits",
347,Ninjacart,Internet ,4.1,1.8k Reviews,9 years old,"Salary & Benefits, Skill Development / Learning, Company Culture",
348,Emcure Pharmaceuticals,Pharma ,3.8,1.8k Reviews,43 years old,"Job Security, Promotions / Appraisal",
349,Rivigo,Internet ,3.9,1.8k Reviews,10 years old,Skill Development / Learning,"Promotions / Appraisal, Job Security, Salary & Benefits"
350,Myntra,Internet ,4.0,1.8k Reviews,17 years old,"Company Culture, Skill Development / Learning, Work Life Balance",Promotions / Appraisal
351,SRF,Chemicals ,4.3,1.8k Reviews,54 years old,"Job Security, Salary & Benefits, Skill Development / Learning",
352,V-Mart,Retail ,4.3,1.8k Reviews,22 years old,"Skill Development / Learning, Job Security, Company Culture",
353,Kalpataru Power Transmission,Engineering & Construction ,4.2,1.8k Reviews,43 years old,"Job Security, Skill Development / Learning, Company Culture",
354,Parle Agro,Beverage ,4.2,1.8k Reviews,40 years old,"Job Security, Work Life Balance, Skill Development / Learning",
355,Datamatics Global Services,IT Services & Consulting ,3.6,1.8k Reviews,49 years old,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",
356,Movate,IT Services & Consulting ,3.5,1.8k Reviews,28 years old,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",
