,company,type,rating,reviewers,age,highly_ratedFOR,critically_ratedFOR
1828,Radico Khaitan,Beverage ,4.0,408 Reviews,81 years old,"Job Security, Skill Development / Learning",Promotions / Appraisal
1829,Reshamandi,Fashion & Textile ,3.7,407 Reviews,4 years old,Job Security,
1830,Cashify,Internet ,3.8,405 Reviews,11 years old,"Job Security, Promotions / Appraisal",
1831,Waaree Energies,Power ,4.0,413 Reviews,35 years old,,
1832,Suroj Buildcon,Engineering & Construction ,4.2,406 Reviews,11 years old,"Company Culture, Job Security, Skill Development / Learning",
1833,CSC Global,Financial Services ,3.5,403 Reviews,125 years old,"Promotions / Appraisal, Work Satisfaction, Salary & Benefits",
1834,Karvy DigiKonnect,Financial Services ,3.1,402 Reviews,9 years old,"Salary & Benefits, Job Security, Promotions / Appraisal",
1835,Ess Kay Fincorp,NBFC ,4.0,401 Reviews,30 years old,"Company Culture, Skill Development / Learning, Work Satisfaction",
1836,JSW Paints,Chemicals ,4.0,421 Reviews,8 years old,Job Security,
1837,Karvy Data Management,,3.2,401 Reviews,,"Salary & Benefits, Promotions / Appraisal, Job Security",
1838,Dr. Batras' Positive Health Clinic,Healthcare ,3.6,412 Reviews,42 years old,"Promotions / Appraisal, Job Security, Work Life Balance",
1839,Netmeds.com,Internet ,3.6,407 Reviews,9 years old,"Promotions / Appraisal, Job Security, Work Satisfaction",
1840,CRYSTAL CROP PROTECTION,Agro Chemicals ,4.0,406 Reviews,44 years old,Promotions / Appraisal,
1841,Coats,Fashion & Textile ,4.0,406 Reviews,50 years old,Promotions / Appraisal,
1842,URC Construction,Engineering & Construction ,3.6,404 Reviews,68 years old,"Promotions / Appraisal, Company Culture, Work Life Balance",
1843,TriGeo Technologies,IT Services & Consulting ,3.2,404 Reviews,28 years old,"Promotions / Appraisal, Salary & Benefits, Company Culture",
1844,Hindusthan National Glass,Packaging ,3.8,403 Reviews,78 years old,"Promotions / Appraisal, Salary & Benefits, Company Culture",
1845,Vindhya Telelinks,Hardware & Networking ,4.1,403 Reviews,41 years old,"Job Security, Salary & Benefits, Work Life Balance",
1846,Roop Polymers,Auto Components ,4.1,401 Reviews,51 years old,"Job Security, Work Life Balance, Company Culture",
1847,CMC,Education & Training ,4.2,397 Reviews,56 years old,"Skill Development / Learning, Work Satisfaction, Job Security",
